,Images,Text
103,000000042919.jpg#3,A truck driving down a road with lots of logs on it's back.
104,000000042919.jpg#4,A truck that has a bunch of logs in the back.
105,000000332362.jpg#0,A striped cat standing on the side window of a car.
106,000000332362.jpg#1,a cat is standing on a car window
107,000000332362.jpg#2,A cat walking on side of a car with tail raised
108,000000332362.jpg#3,A cat walking on an automobile door beside the side window.
109,000000332362.jpg#4,A tabby cat balances on the edge of a car window.
110,000000384935.jpg#0,A dog sticking its head out of the car window and viewed from the side mirror. 
111,000000384935.jpg#1,A dog has a reflection in a car's rear view mirror.
112,000000384935.jpg#2,A puppy hanging outside of a car in a driveway.
113,000000384935.jpg#3,A dog being reflected in a rear view mirror on the side of a car.
114,000000384935.jpg#4,"Dog hanging out a car window, as seen in a side view car mirror."
115,000000386973.jpg#0,A car with a bike tied to the back of it.
116,000000386973.jpg#1,a car with a bike strapped on the trunk
117,000000386973.jpg#2,A car parked next to a house with a bike on a bike rack on it.
118,000000386973.jpg#3,A car with a bike on the back of it sitting in a field.
119,000000386973.jpg#4,Bicycle sitting on bike rack on back of car
120,000000108156.jpg#0,A rear view mirror view shows a truck coming up behind.
121,000000108156.jpg#1,A semi truck is seen in the reflection of a rear view mirror.
122,000000108156.jpg#2,A large truck is shown in a rear view mirror.
123,000000108156.jpg#3,The reflection of a truck in the side view mirror.
124,000000108156.jpg#4,The from of a semi truck seen from a car's side mirror
125,000000466597.jpg#0,A cat laying down under a light blue car.
126,000000466597.jpg#1,A cat crouching under a parked blue car
127,000000466597.jpg#2,a blue car with a cat laying underneath it
128,000000466597.jpg#3,A cat is standing under a blue vehicles
129,000000466597.jpg#4,A gray is crouching under a blue car.
130,000000314538.jpg#0,A driveway with a car parked in it .
131,000000314538.jpg#1,A car parked in front of a building near a tree.
132,000000314538.jpg#2,A car is parked in front of the house
133,000000314538.jpg#3,A car parked next to a house with something white on top of it. 
134,000000314538.jpg#4,A car parked near a home with a cat sitting on it 
135,000000511583.jpg#0,A car is parked on a street at night.
136,000000511583.jpg#1,Car parked on street next to sidewalk in night scene
137,000000511583.jpg#2,A gray Ford Crown Victoria parked on a city street at night.
138,000000511583.jpg#3,A car parked next to a brick sidewalk on a street at night.
139,000000511583.jpg#4,a car that is parked next to a fire hydrogen 
140,000000045188.jpg#0,This cool cake is in the shape of a car.
141,000000045188.jpg#1,The cake is made to look like a car that has a face.
142,000000045188.jpg#2,A birthday cake is themed from  a character from Cars.
143,000000045188.jpg#3,A Cars Cartoon cake sitting on a Gold Foil plate.
144,000000045188.jpg#4,A car decorated to look like a car
145,000000103127.jpg#0,A car's side mirror shows a dog sticking his head out of the window.
146,000000103127.jpg#1,A dog hangs its head out the back window of a car.
147,000000103127.jpg#2,Looking at the passenger side mirror to see a dog's head out the window.
148,000000103127.jpg#3,A side view mirror hanging off the side of a car door.
149,000000103127.jpg#4,Dogs love to stick their heads out into the wind when riding in a car.
150,000000487353.jpg#0,A truck is covered all over in graffiti
151,000000487353.jpg#1,a truck with graffiti written all over it 
152,000000487353.jpg#2,A delivery truck covered in graffiti driving down a street.
153,000000487353.jpg#3,A truck painted with pop art all over it 
154,000000487353.jpg#4,A truck parked in a lot and covered with graffiti 
155,000000075496.jpg#0,a hummingbird flying next to the rear view mirror of a car
156,000000075496.jpg#1,A bird flying into the mirror on a car. 
157,000000075496.jpg#2,A side view mirror that has a bird looking in it.
158,000000075496.jpg#3,A bird is attacking its own reflection in a car's side mirror.
159,000000075496.jpg#4,A bird flying into the side mirror of a red vehicle. 
160,000000521721.jpg#0,a red bird flying past a car window
161,000000521721.jpg#1,a bird is flying into the window of a car
162,000000521721.jpg#2,A bird that is flying near a car window.
163,000000521721.jpg#3,Feathers are outside of a car window near the side mirror. 
164,000000521721.jpg#4,A red bird fluttering next to a car window.
165,000000421569.jpg#0,A brown and white dog on street next to a blue car.
166,000000421569.jpg#1,A dog is standing on the street next to a car.
167,000000421569.jpg#2,A cute golden dog is standing in the street.
168,000000421569.jpg#3,A dog stands in the middle of a road.
169,000000421569.jpg#4,light brown cocker spaniel dog howling in street
170,000000160211.jpg#0,One hairy dog with sharp teeth riding with his head out the car window.
171,000000160211.jpg#1,The reflection of a dog putting its head out of a car window.
172,000000160211.jpg#2,a reflection in a side view mirror of a dog hanging out the car 
173,000000160211.jpg#3,a white dog with his head out of a car window 
174,000000160211.jpg#4,A white dog is leaning out of the window.
175,000000194306.jpg#0,A white dog sitting inside a red car next to a string of flowers hanging off the mirror.
176,000000194306.jpg#1,A small white dog inside of a red car.
177,000000194306.jpg#2,A blissful dog laying against a windscreen of a car
178,000000194306.jpg#3,a dog that  is sitting in a red car
179,000000194306.jpg#4,A white dog sitting in the front seat of a red car.
180,000000242564.jpg#0,A dog sits in the window of a vehicle.
181,000000242564.jpg#1,A car with a dog inside it parked in the street.
182,000000242564.jpg#2,There is a small yellow car parked with a dog waiting on the inside. 
183,000000242564.jpg#3,A yellow subcompact car with a dog in it.
184,000000242564.jpg#4,a close up of a small car with a dog inside
185,000000050786.jpg#0,A white truck is near some trees in the background.
186,000000050786.jpg#1,A food truck with screen covers across the windows.
187,000000050786.jpg#2,An old looking white van is close up.
188,000000050786.jpg#3,The delivery truck is parked o the side of the road.
189,000000050786.jpg#4,A white food truck is parked outside in the sun.
190,000000115954.jpg#0,School bus traveling down a residential street brakes for passing car. 
191,000000115954.jpg#1,A school bus that is stopped by a turn off.
192,000000115954.jpg#2,A photo taken from a car looking at the back of a school bus.
193,000000115954.jpg#3,A yellow school bus driving down a road.
194,000000115954.jpg#4,A large yellow school bus on a road.
195,000000560254.jpg#0,A green and white bus driving past a blue bus stop.
196,000000560254.jpg#1,A city bus pulled up to a street curb
197,000000560254.jpg#2,A CITY COMMUTER BUS IS PARKED ON THE CURB 
198,000000560254.jpg#3,"A green bus parked by the curb next to a bus stop, with some snow on the ground."
199,000000560254.jpg#4,a public bus parked by a blue bus stop
200,000000406932.jpg#0,A dog hanging out of a side window on a car.
201,000000406932.jpg#1,Dog looking out car window as reflected in side view mirror.
202,000000406932.jpg#2,A dog with his head out of the window and tongue hanging as seen in a car mirror.
203,000000406932.jpg#3,a dog look through a cars window 
204,000000406932.jpg#4,A dog's reflection in a car door mirror.
205,000000372615.jpg#0,A car driving down a street with a side view mirror.
206,000000372615.jpg#1,a dog with his head out of the window seen through a car mirror 
207,000000372615.jpg#2,The dog is hanging out of the back car window.
208,000000372615.jpg#3,A dog is poking it's head out the window of a car as it rides toward the mountain.
209,000000372615.jpg#4,View out passenger side of a mountain and green field
210,000000407422.jpg#0,A taxi cab parked next to a brown teddy bear laying in a street.
211,000000407422.jpg#1,A teddy bear lying face down on the street as a taxi drives past. 
212,000000407422.jpg#2,a stuffed animal near a car on a city street
213,000000407422.jpg#3,A stuffed teddy bear face down on the street with a cab beside it.
214,000000407422.jpg#4,A brown teddy bear laying in the middle of a street while a taxi passes by. 
215,000000038905.jpg#0,an old photo of a public transit bus driving on a street
216,000000038905.jpg#1,an old fashioned bus parked by the side of the road
217,000000038905.jpg#2,a bus traveling down an asphalt road next to a sidewalk.
218,000000038905.jpg#3,The bus is  leaving this residential section of town and traveling across a viaduct.
219,000000038905.jpg#4,A bus rides down an empty residential street.
220,000000093000.jpg#0,A train is traveling down the tracks in a deserted area.
221,000000093000.jpg#1,A train on the tracks alongside a brick wall 
222,000000093000.jpg#2,A train coming out of a tunnel and rounding a corner.
223,000000093000.jpg#3,A freight train moving slowly down the tracks.
224,000000093000.jpg#4,A train going down the track just after passing under a overpass.
225,000000292977.jpg#0,a dog is sticking its head out of a window
226,000000292977.jpg#1,A black fluffy dog sticks its head out of a van window.
227,000000292977.jpg#2,"A black dog, peering out the drivers window of a mini-van."
228,000000292977.jpg#3,A gray shaggy dog hanging out the driver side window of a blue minivan.
229,000000292977.jpg#4,"A fluffy, black dog leaning out of a car window."
230,000000099584.jpg#0,A transit bus stopped at a street side that's filled with snow.
231,000000099584.jpg#1,A white bus with a painting of a blue flower on the front stopped on a street near a snow covered sidewalk. 
232,000000099584.jpg#2,An empty bus parked on the side of a road.
233,000000099584.jpg#3,A picture of a bus stopped on the street.
234,000000099584.jpg#4,A bus pulled over on the road next to some snow.
235,000000270583.jpg#0,A car driving down a road next to a street sign.
236,000000270583.jpg#1,A bird perched on a guardrail as a car drives by.
237,000000270583.jpg#2,A car driving on the road near a road sign and a bird.
238,000000270583.jpg#3,A car passing a street sign indicating no right turns.
239,000000270583.jpg#4,A black bird sitting on the hood of a car near a no parking sign.
240,000000512796.jpg#0,A side view mirror hanging off the side of a door.
241,000000512796.jpg#1,A bull in the side view mirror of a car.
242,000000512796.jpg#2,A view of a cow in a car's mirror. 
243,000000512796.jpg#3,The rear view mirror of a vehicle with the reflection of a cow.
244,000000512796.jpg#4,A RED CARS VIEW OF A COW IN THE REAR VIEW MIRROR 
245,000000418624.jpg#0,A picture of a toy car and bus on carpet.
246,000000418624.jpg#1,A toy bus and care are parked on carpet.
247,000000418624.jpg#2,A toy bus and car on a large grassy area.
248,000000418624.jpg#3,A toy bus is on a carpet with a toy car in the background.
249,000000418624.jpg#4,A bus and a car that are in a field.
250,000000523360.jpg#0,A cement wall with a picture on it and a small four door vehicle parked below the picture.
251,000000523360.jpg#1,a little car sitting by a wall with a picture on it 
252,000000523360.jpg#2,A car is parked on a street near a sign.
253,000000523360.jpg#3,The car with a rack on it's roof is parked next to a street sign. 
254,000000523360.jpg#4,A car is parked under a unique sign.
255,000000338994.jpg#0,Someone looks through their side view mirror at the dog on the back of the truck.
256,000000338994.jpg#1,The rearview mirror shows a dog looking out of a car
257,000000338994.jpg#2,A car mirror reflects a dog's head and some trees.
258,000000338994.jpg#3,A rear view mirror on the side of a car door.
259,000000338994.jpg#4,A dog shown in the side view mirror of a car.
260,000000097049.jpg#0,A dog hanging out of a car in front of a rear view mirror.
261,000000097049.jpg#1,A reflection in a vehicles side view mirror of a dog with it's head sticking out of a window.
262,000000097049.jpg#2,A reflection of a dog sticking his head out of the car window.
263,000000097049.jpg#3,Rearview mirror view of a dog sticking its head out car window. 
264,000000097049.jpg#4,A car's side view mirror reflects a dog hanging its head out the window.
265,000000340096.jpg#0,A stop sign covered in lights at a street intersection.
266,000000340096.jpg#1,A stop sign that is decorated with Christmas lights.
267,000000340096.jpg#2,a decorated lite up stop sign at the corner
268,000000340096.jpg#3,car comes to the curve to stop at the stop sign
269,000000340096.jpg#4,A stop sign covered in a white lights. 
270,000000021571.jpg#0,A dog sitting behind a window at a house.
271,000000021571.jpg#1,A very cute dog looking out the window of a nice house.
272,000000021571.jpg#2,a dog stares out of a window 
273,000000021571.jpg#3,a dog sitting in a window looking at a vehicle
274,000000021571.jpg#4,a dog sits lonely in a window in a gray house
275,000000441165.jpg#0,A cat sleeping on the car made of metal
276,000000441165.jpg#1,A cat sleeping on the roof of a car.
277,000000441165.jpg#2,A small cat sitting on top of a parked car.
278,000000441165.jpg#3,The cat is laying on top of the vehicle.
279,000000441165.jpg#4,A multicolored cat taking a nap on the roof of a car.
280,000000352601.jpg#0,A cat rolls around on the hood of a car. 
281,000000352601.jpg#1,A cat sleeping with his head upside down on the hood of a car.
282,000000352601.jpg#2,acat laying on the hood of a car
283,000000352601.jpg#3,The cat is relaxing on the hood of the car.
284,000000352601.jpg#4,A cat laying on the hood of a car in a driveway.
285,000000510006.jpg#0,THERE IS A CAT ON THE CAR BACK SEAT
286,000000510006.jpg#1,A gray and white cat sitting in the back window of a car.
287,000000510006.jpg#2,A cat grooming itself in the back window of a car.
288,000000510006.jpg#3,A cat basks in the sun in the back of a car.
289,000000510006.jpg#4,A cat is sitting in a car licking itself.
290,000000445408.jpg#0,A picture of the side of a car with a plan in the background. 
291,000000445408.jpg#1,A car in a street with an airplane taxining in the background
292,000000445408.jpg#2,View of a car and a plane from inside another car
293,000000445408.jpg#3,An airplane on an overpass close to parked cars.
294,000000445408.jpg#4,Someone in a car taking a picture of another car and an airplane.
295,000000335119.jpg#0,A car and a bus behind a fence.
296,000000335119.jpg#1,A graffiti covered bus in a fenced in parking lot.
297,000000335119.jpg#2,The bus behind the fence has a lot of graffiti on it.
298,000000335119.jpg#3,A car is parked next to a colorfully painted bus.
299,000000335119.jpg#4,A spray painted bus is parked beside a minivan.
300,000000498081.jpg#0,"A truck is parked in a driveway in the snow.
"
301,000000498081.jpg#1,An old car is sitting in a snowy driveway.
302,000000498081.jpg#2,A truck parked in the snow near several trees.
303,000000498081.jpg#3,A strange car sitting in the snow near a bush
304,000000498081.jpg#4,The old car is beige and is parked in the snow. 
305,000000041342.jpg#0,The windshield of a bus that is in the street.
306,000000041342.jpg#1,large bus with a reflection of the sky and clouds on its windshield
307,000000041342.jpg#2,The front of a bus in a closeup shot 
308,000000041342.jpg#3,There is a large passenger bus and the sky is reflected in its front window.
309,000000041342.jpg#4,A large white and black bus drives down the road.
310,000000525361.jpg#0,A train pulled into a train station next to a loading platform.
311,000000525361.jpg#1,"A yellow, white and blue train next to a train station."
312,000000525361.jpg#2,A yellow and blue train pulls into a train station.
313,000000525361.jpg#3,a yellow and white passenger train parked beside a train platform 
314,000000525361.jpg#4,A passenger train is stopped at a train station.
315,000000020613.jpg#0,A dog is in a car with his nose up to the partially rolled down window.
316,000000020613.jpg#1,A dog looks out of a half opened car window.
317,000000020613.jpg#2,A dog taking a ride in the back seat of a silver car.
318,000000020613.jpg#3,A dog in the back seat of a car looking out the window.
319,000000020613.jpg#4,A dog peers through an open car window
320,000000397375.jpg#0,A dog sitting in the passenger seat of a car.
321,000000397375.jpg#1,A dog pokes his head up in the window of a white car.
322,000000397375.jpg#2,A dog looking out a window of a car.
323,000000397375.jpg#3,A dog sitting in the passenger seat of a car. 
324,000000397375.jpg#4,A dog peeking out of a car's window.
325,000000218850.jpg#0,A large blue train traveling past some houses on rail road tracks
326,000000218850.jpg#1,A train travels on tracks through a residential area.
327,000000218850.jpg#2,A train going through a residential neighborhood. 
328,000000218850.jpg#3,A train traveling down a track with houses on either side.
329,000000218850.jpg#4,A train sitting on train tracks running through a town.
330,000000162747.jpg#0,A small orange train traveling down tracks near a station.
331,000000162747.jpg#1,A freight train coming in to the platform of a small station
332,000000162747.jpg#2,a train parked at a train platform 
333,000000162747.jpg#3,a train next to a bridge sitting on a train track
334,000000162747.jpg#4,A train pulls up to a train stop.
335,000000179331.jpg#0,A white dog with it's head hanging out of the side of a window.
336,000000179331.jpg#1,A dog's reflection is in a rear view mirror.
337,000000179331.jpg#2,The image of a white dog in a car mirror poking his head outside of the window of a moving car.
338,000000179331.jpg#3,A dog looking out of a car window is reflected in the side view mirror.
339,000000179331.jpg#4,"An image of a dog sticking its' head out a car window, taken from a side mirror."
340,000000357944.jpg#0,A tall green building with a massive tall brown clock tower behind it.
341,000000357944.jpg#1,A white car parked in front of a building.
342,000000357944.jpg#2,There is a police car parked in front of an old building.
343,000000357944.jpg#3,A police car is parked outside the waiting room at Lackawanna Rail Road.
344,000000357944.jpg#4,a police car parked outside of a building 
345,000000052388.jpg#0,A white delivery truck parked on the side of a road.
346,000000052388.jpg#1,A truck parked in a street with graffiti writing on its hood.
347,000000052388.jpg#2,A truck is on the street with a red background.
348,000000052388.jpg#3,Photo of a bus parked at a curb near a building in a reddish light.
349,000000052388.jpg#4,A truck parked on the side of a street. 
350,000000570978.jpg#0,A double decker bus parked near a building
351,000000570978.jpg#1,a double stacker yellow passenger bus outside an apartment building
352,000000570978.jpg#2,A doubledecker bus traveling on a city street.
353,000000570978.jpg#3,A yellow double decker bus moving down a street.
354,000000570978.jpg#4,A yellow bus that is a double-decker bus on a road.
355,000000197716.jpg#0,A bus parked on a street next to a tree.
356,000000197716.jpg#1,A colorful bus on the street next to a tree.
357,000000197716.jpg#2,There is a bus 61A stop at the street
358,000000197716.jpg#3,The city bus is parked on the side of the road. 
359,000000197716.jpg#4,A blue bus is parked by a strip of grass.
360,000000127997.jpg#0,A tractor trailer on one side of a road and a car travelling behind another car can be seen in the car's mirror. 
361,000000127997.jpg#1,a car side view mirror passing a tractor trailer truck
362,000000127997.jpg#2,A UPS 18-wheeler traveling on the opposite side of the street.
363,000000127997.jpg#3,a mirror outside of a vehicle driving down the street
364,000000127997.jpg#4,Right mirror of a silver colored driving vehicle. 
365,000000276506.jpg#0,A brown stone building with blue wood shutters.
366,000000276506.jpg#1,The shutters on the building are a deep blue.
367,000000276506.jpg#2,a car parked by a building with blue window and door frames
368,000000276506.jpg#3,A car is parked outside of a rundown building.
369,000000276506.jpg#4,a car parked under a traffic light 
370,000000527587.jpg#0,A run down rusted red jeet sitting in a parking lot.
371,000000527587.jpg#1,A worn and dirty red truck parked beneath clouds.
372,000000527587.jpg#2,A beat up red jeep with a luggage rack on top.
373,000000527587.jpg#3,A truck parked on some dirt and mud in the mountains.
374,000000527587.jpg#4,A rusted out vehicle with a flat tire.
375,000000378865.jpg#0,A train traveling along a bridge next to tall buildings.
376,000000378865.jpg#1,An elevated train passes over a city street.
377,000000378865.jpg#2,A silver train travelling on tracks suspended above the ground.
378,000000378865.jpg#3,The high speed transit train is elevated above the city at this point
379,000000378865.jpg#4,A train is travelling on an elevated track.
380,000000343319.jpg#0,A dog hanging out of a rear car door window reflecting in a rear view mirror.
381,000000343319.jpg#1,A person photographing the reflection of a dog
382,000000343319.jpg#2,A person takes a picture of a dog in the car mirror.
383,000000343319.jpg#3,A woman takes a photo of her dog through the mirror of her car on a fall day.
384,000000343319.jpg#4,A girl taking a picture through her side mirror to see her dog outside the window
385,000000520342.jpg#0,a white car parked at a parking meter
386,000000520342.jpg#1,The emergency brake is enabled to keep the car from rolling down the hill.
387,000000520342.jpg#2,A white luxury car in front of an apartment building marred by graffiti.
388,000000520342.jpg#3,A car is parked on a steep incline.
389,000000520342.jpg#4,A car that is parked near a coin meter.
390,000000072535.jpg#0,A large yellow cat laying on a green car.
391,000000072535.jpg#1,A large orange cat sitting on top of a truck.
392,000000072535.jpg#2,A big orange and white cat sitting on a car.
393,000000072535.jpg#3,A very large orange cat lying on the roof of a vehicle.
394,000000072535.jpg#4,A cat sprawled out on the top of a car
395,000000096207.jpg#0,A rear view mirror has the reflection of a truck.
396,000000096207.jpg#1,A view of a large semi truck near a highway seen through a mirror.
397,000000096207.jpg#2,Picture of white vehicle on the open highway and the front/rear view mirror.
398,000000096207.jpg#3,There is a rear view mirror with a truck in it.
399,000000096207.jpg#4,A photo taken in a mirror showing the side of a truck.
400,000000209788.jpg#0,A red traffic light sitting at the corner of a building.
401,000000209788.jpg#1,An automobile stopped at a traffic light by a grey building.
402,000000209788.jpg#2,A red light on the side of an old building near an alley way.
403,000000209788.jpg#3,A traffic light hanging on the side of a building.
404,000000209788.jpg#4,A traffic light on the side of a large building.
405,000000547449.jpg#0,The back side of a Volkswagon van with a man and a woman in it.
406,000000547449.jpg#1,A man and a woman sitting in a green and white van.
407,000000547449.jpg#2,An old green van being driven during traffic.
408,000000547449.jpg#3,An elderly man and his passenger in a green van.
409,000000547449.jpg#4,A Volkswagon van sits in the street. 
410,000000364312.jpg#0,A multilingual sign that gives directions to buildings.
411,000000364312.jpg#1,a red and green sign is on a pole
412,000000364312.jpg#2,a red white green and black sign some cars and buildings
413,000000364312.jpg#3,traffic signs on top of poles directs traffic
414,000000364312.jpg#4,The sign is giving directions to the landmarks
415,000000056302.jpg#0,A large long bus on a city street.
416,000000056302.jpg#1,A city bus on the street in front of buildings.
417,000000056302.jpg#2,A blue bus traveling down an incline of a busy street. 
418,000000056302.jpg#3,A city bus with full side advertisement in front of a building.
419,000000056302.jpg#4,a public transit bus on a city street 
420,000000258674.jpg#0,A parking meter lies askew on a street.
421,000000258674.jpg#1,The front end of a car parked at a parking meter 
422,000000258674.jpg#2,a parking meter on a city street leaning
423,000000258674.jpg#3,A car hits and bends a parking meter.
424,000000258674.jpg#4,a parking meter at an awkward angle near a silver car
425,000000397903.jpg#0,A woman taking a picture of her rear view mirror with a dog sitting next to her.
426,000000397903.jpg#1,A woman taking a photo of a dog in the side view mirror
427,000000397903.jpg#2,A reflection in a side view mirror of a woman taking a picture.
428,000000397903.jpg#3,A woman takes a picture of herself and her dog by using her car mirror.
429,000000397903.jpg#4,A woman taking a self portrait with her black and brown dog.
430,000000446467.jpg#0,a passenger train parked at a platform and below some power lines 
431,000000446467.jpg#1,A Chinese public train waiting at the station.
432,000000446467.jpg#2,A blue and white train next to train station with trees in background.
433,000000446467.jpg#3,A train sitting at the station before departing
434,000000446467.jpg#4,A train is parked at a train station. 
435,000000161873.jpg#0,A giraffe is walking on a roadway with cars on it.
436,000000161873.jpg#1,A griaffe walking on a road with two cars approaching.
437,000000161873.jpg#2,a giraffe standing on a road in front of two traveling cars.
438,000000161873.jpg#3,A giraffe walking by two cars on a road.
439,000000161873.jpg#4,A giraffe walks down a road past a couple of cars.
440,000000086020.jpg#0,a side rear view mirror looking at a truck
441,000000086020.jpg#1,A mirror shot of a red vehicle that says a red truck approaching. 
442,000000086020.jpg#2,A truck is reflected in the side view mirror of this car.
443,000000086020.jpg#3,An antique red car is seen in another car's side mirror.
444,000000086020.jpg#4,Red truck appears as an image in the side view mirror of passenger car. 
445,000000007201.jpg#0,A car with surfboards on the roof driving on the beach.
446,000000007201.jpg#1,A yellow car driving on the beach by the ocean.
447,000000007201.jpg#2,Orange truck with a surfboard on it driving on the beach. 
448,000000007201.jpg#3,A yellow SUV driving on a sandy beach next.
